Object,Teff,err_Teff,FeH,logg,Nobs,GaiaDR2source_id,RAJ2000,DecJ2000,plx,MagV,MagG
Vesta,5772,,0,4.44,22,,,,,,
HD1835,5747,,0.08,4.45,1,2.42E+18,002251.78833,-121233.9724,46.93,6.39,6.225
HD19467,5753,80,-0.07,4.3,7,5.16E+18,030718.57504,-134542.4192,31.23,7,6.798
HD20782,5773,,-0.09,4.39,14,5.06E+18,032003.57774,-285114.6604,27.76,7.38,7.193
HD30495,5857,80,-0.02,4.5,2,2.98E+18,044736.29176,-165604.0419,75.52,5.5,5.293
HD45184,5863,63,0.04,4.42,111,2.90E+18,062443.87975,-284648.4163,45.52,6.39,6.205
HD45289,5710,79,0.03,4.25,12,5.57E+18,062424.35044,-425051.0650,35.87,6.67,6.494
HD76151,5787,80,0.03,4.43,7,5.76E+18,085417.94698,-052604.0465,59.35,6,5.832
HD78429,5740,69,0.05,4.27,52,5.43E+18,090638.83105,-432931.1171,26.14,7.33,7.129
HD78660,5788,82,-0.03,4.39,1,6.07E+17,090953.85946,+142724.3467,20.63,,8.175
HD138573,5745,,-0.04,4.41,1,1.17E+18,153243.65318,+105805.8798,33.3,,7.075
HD140538,5693,,0.05,4.46,11,4.42E+18,154401.81893,+023054.6008,67.71,,5.679
HD146233,5826,,0.06,4.42,139,4.35E+18,161537.27037,-082209.9820,70.77,5.5,5.303
HD157347,5730,80,0.03,4.42,19,4.37E+18,172251.28771,-022317.4398,50.86,6.28,6.104
HD171665,5725,97,-0.1,4.46,3,4.08E+18,183712.83960,-254016.5631,33.11,7.46,7.251
HD183658,5824,80,0.06,4.46,4,4.21E+18,193052.71915,-063051.9252,29.96,7.28,7.102
HD220507,5701,84,0.02,4.26,10,6.50E+18,232442.11536,-524206.7613,23.08,7.58,7.417
HD222582,5802,80,0,4.35,1,2.44E+18,234151.52999,-055908.7315,23.69,7.69,7.519
