lambda1,omega1,ion1,q1,dq1,lambda2,omega2,ion2,q2,dq2
4652.593,21493.391,CrI,490,60,4653.460,21489.386,CrI,490,60
4759.449,21010.835,TiI,440,60,4760.600,21005.756,TiI,460,60
4799.873,20833.885,TiII,90,90,4800.072,20833.021,FeI,-830,400
5138.510,19460.894,NiI,4950,500,5143.171,19443.258,FeI,2840,300
5187.346,19277.681,TiII,340,150,5200.158,19230.185,FeI,-1500,900
6123.910,16329.437,CaI,-69,7,6138.313,16291.121,FeI,2710,500
6123.910,16329.437,CaI,-69,7,6139.390,16288.263,FeI,3010,500
6138.313,16291.121,FeI,2710,500,6139.390,16288.263,FeI,3010,500
6153.320,16251.389,FeI,340,400,6155.928,16244.504,NaI,7,1
6153.320,16251.389,FeI,340,400,6162.452,16227.307,NaI,-11,1
6153.320,16251.389,FeI,340,400,6168.150,16212.316,CaI,-475,24
6155.928,16244.504,NaI,7,1,6162.452,16227.307,NaI,-11,1
6162.452,16227.307,NaI,-11,1,6168.150,16212.316,CaI,-475,24
6162.452,16227.307,NaI,-11,1,6175.044,16194.217,FeI,430,500
6168.150,16212.316,CaI,-475,24,6175.044,16194.217,FeI,430,500
6192.900,16147.524,NiI,5500,550,6202.028,16123.758,FeI,2870,500
6242.372,16019.552,FeI,-1300,900,6244.834,16013.236,VI,-600,60
